Build Type,Date, Time, Application,Environment,Release,Publish Type,App Job Name, App Job Build Number,Spinner Job Name, Spinner Job Build Number,App Job Duration,Spinner Job Duration,Total Execution,Total Time (In mins.secs)
,5/12/2016,3:18:04,ENERGYPLM,QA2,,db,PLM-ENERGYPLM-APP,58,PLM-ENERGYPLM-DB,38,,,,0
,5/12/2016,5:08:02,AEROPLM,DEV,,app,PLM-AEROPLM-APP,150,PLM-AEROPLM-DB,167,,,,0
,5/12/2016,5:39:30,ENERGYPLM,DEV2,,db,PLM-ENERGYPLM-APP,59,PLM-ENERGYPLM-DB,39,,,,0
,5/12/2016,7:44:03,ENERGYPLM,QA2,,app,PLM-ENERGYPLM-APP,60,PLM-ENERGYPLM-DB,39,,,,0
,5/13/2016,2:45:31,WINDPLM,QA,,db,PLM-WINDPLM-APP,177,PLM-WINDPLM-DB,159,,,,0
,5/13/2016,4:44:41,WINDPLM,DEV,,db,PLM-WINDPLM-APP,178,PLM-WINDPLM-DB,160,,,,0
,5/13/2016,6:54:26,AEROPLM,DEV,,app,PLM-AEROPLM-APP,151,PLM-AEROPLM-DB,167,,,,0
,5/13/2016,8:51:16,ENERGYPLM,QA2,,all,PLM-ENERGYPLM-APP,61,PLM-ENERGYPLM-DB,40,,,,0
,5/13/2016,12:00:35,ENERGYPLM,QA2,,db,PLM-ENERGYPLM-APP,62,PLM-ENERGYPLM-DB,41,,,,0
,5/13/2016,12:19:48,ENERGYPLM,DEV2,,db,PLM-ENERGYPLM-APP,63,PLM-ENERGYPLM-DB,42,,,,0
,5/15/2016,8:47:57,ENERGYPLM,DEV1,,db,PLM-ENERGYPLM-APP,64,PLM-ENERGYPLM-DB,43,,,,0
,5/15/2016,13:32:39,ENERGYPLM,DEV1,,db,PLM-ENERGYPLM-APP,65,PLM-ENERGYPLM-DB,44,,,,0
,5/15/2016,14:07:33,ENERGYPLM,DEV1,,db,PLM-ENERGYPLM-APP,66,PLM-ENERGYPLM-DB,45,,,,0
,5/15/2016,14:26:53,ENERGYPLM,DEV1,,db,PLM-ENERGYPLM-APP,67,PLM-ENERGYPLM-DB,46,,,,0
,5/15/2016,16:38:09,ENERGYPLM,QA1,,db,PLM-ENERGYPLM-APP,68,PLM-ENERGYPLM-DB,47,,,,0
